epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030008,1,1,3108,-47,1654780725937527,1654780725937527,
300833b2ddd9014000030002,1,1,496,-53,1654780725938981,1654780725938981,
300833b2ddd9014000030009,1,1,2436,-45,1654780725940037,1654780725940037,
300833b2ddd9014000030001,1,1,1148,-46,1654780725941252,1654780725941252,
300833b2ddd9014000030002,1,1,488,-52,1654780725944095,1654780725944095,
300833b2ddd9014000030008,1,1,3092,-47,1654780725945193,1654780725945193,
300833b2ddd9014000030009,1,1,2436,-45,1654780725946744,1654780725946744,
300833b2ddd9014000030001,1,1,1160,-46,1654780725948100,1654780725948100,
300833b2ddd9014000030009,1,1,2448,-45,1654780725979957,1654780725979957,
300833b2ddd9014000030002,1,1,484,-53,1654780725981520,1654780725981520,
300833b2ddd9014000030001,1,1,1140,-46,1654780725982864,1654780725982864,
300833b2ddd9014000030008,1,1,3076,-47,1654780725983919,1654780725983919,
300833b2ddd9014000030008,1,1,3100,-47,1654780725989005,1654780725989005,
300833b2ddd9014000030002,1,1,472,-53,1654780725990118,1654780725990118,
300833b2ddd9014000030009,1,1,2424,-45,1654780725991460,1654780725991460,
300833b2ddd9014000030001,1,1,1124,-46,1654780725992801,1654780725992801,
300833b2ddd9014000030001,1,1,1144,-46,1654780726024297,1654780726024297,
300833b2ddd9014000030002,1,1,480,-52,1654780726025364,1654780726025364,
300833b2ddd9014000030008,1,1,3096,-47,1654780726026494,1654780726026494,
300833b2ddd9014000030009,1,1,2440,-45,1654780726027821,1654780726027821,
300833b2ddd9014000030008,1,1,3096,-47,1654780726032537,1654780726032537,
300833b2ddd9014000030009,1,1,2436,-45,1654780726034092,1654780726034092,
300833b2ddd9014000030001,1,1,1132,-46,1654780726035434,1654780726035434,
300833b2ddd9014000030002,1,1,444,-53,1654780726037977,1654780726037977,
300833b2ddd9014000030009,1,1,2432,-45,1654780726067862,1654780726067862,
300833b2ddd9014000030008,1,1,3100,-47,1654780726069201,1654780726069201,
300833b2ddd9014000030002,1,1,460,-53,1654780726070981,1654780726070981,
300833b2ddd9014000030001,1,1,1136,-46,1654780726072026,1654780726072026,
300833b2ddd9014000030009,1,1,2440,-45,1654780726076538,1654780726076538,
300833b2ddd9014000030008,1,1,3092,-47,1654780726077650,1654780726077650,
300833b2ddd9014000030001,1,1,1132,-46,1654780726078994,1654780726078994,
300833b2ddd9014000030002,1,1,460,-53,1654780726081470,1654780726081470,
300833b2ddd9014000030002,1,1,448,-52,1654780726112285,1654780726112285,
300833b2ddd9014000030001,1,1,1136,-46,1654780726113627,1654780726113627,
300833b2ddd9014000030008,1,1,3088,-47,1654780726114667,1654780726114667,
300833b2ddd9014000030009,1,1,2432,-45,1654780726115739,1654780726115739,
300833b2ddd9014000030002,1,1,456,-52,1654780726121829,1654780726121829,
300833b2ddd9014000030001,1,1,1132,-46,1654780726123235,1654780726123235,
300833b2ddd9014000030009,1,1,2444,-45,1654780726126230,1654780726126230,
300833b2ddd9014000030008,1,1,3088,-47,1654780726127470,1654780726127470,
300833b2ddd9014000030001,1,1,1128,-46,1654780726158702,1654780726158702,
300833b2ddd9014000030009,1,1,2452,-45,1654780726159786,1654780726159786,
300833b2ddd9014000030008,1,1,3100,-47,1654780726161301,1654780726161301,
300833b2ddd9014000030002,1,1,452,-53,1654780726162659,1654780726162659,
300833b2ddd9014000030009,1,1,2440,-45,1654780726167619,1654780726167619,
300833b2ddd9014000030001,1,1,1128,-46,1654780726169317,1654780726169317,
300833b2ddd9014000030008,1,1,3092,-47,1654780726170383,1654780726170383,
300833b2ddd9014000030002,1,1,456,-52,1654780726171868,1654780726171868,
300833b2ddd9014000030009,1,1,2468,-45,1654780726203156,1654780726203156,
300833b2ddd9014000030001,1,1,1132,-46,1654780726204257,1654780726204257,
300833b2ddd9014000030002,1,1,460,-52,1654780726205384,1654780726205384,
300833b2ddd9014000030008,1,1,3104,-47,1654780726206806,1654780726206806,
300833b2ddd9014000030008,1,1,3080,-47,1654780726210116,1654780726210116,
300833b2ddd9014000030009,1,1,2456,-45,1654780726211201,1654780726211201,
300833b2ddd9014000030001,1,1,1136,-46,1654780726212554,1654780726212554,
300833b2ddd9014000030002,1,1,428,-52,1654780726214249,1654780726214249,
300833b2ddd9014000030009,1,1,2436,-45,1654780726246830,1654780726246830,
300833b2ddd9014000030001,1,1,1132,-46,1654780726247913,1654780726247913,
300833b2ddd9014000030008,1,1,3092,-47,1654780726248929,1654780726248929,
300833b2ddd9014000030002,1,1,456,-52,1654780726250805,1654780726250805,
300833b2ddd9014000030008,1,1,3080,-47,1654780726255262,1654780726255262,
300833b2ddd9014000030002,1,1,424,-52,1654780726256842,1654780726256842,
300833b2ddd9014000030001,1,1,1120,-46,1654780726258183,1654780726258183,
300833b2ddd9014000030009,1,1,2436,-45,1654780726259283,1654780726259283,
300833b2ddd9014000030002,1,1,448,-52,1654780726292388,1654780726292388,
300833b2ddd9014000030009,1,1,2444,-45,1654780726295185,1654780726295185,
300833b2ddd9014000030001,1,1,1128,-46,1654780726296384,1654780726296384,
300833b2ddd9014000030008,1,1,3100,-47,1654780726297992,1654780726297992,
300833b2ddd9014000030009,1,1,2444,-45,1654780726301402,1654780726301402,
300833b2ddd9014000030008,1,1,3076,-47,1654780726302485,1654780726302485,
300833b2ddd9014000030001,1,1,1120,-46,1654780726303842,1654780726303842,
300833b2ddd9014000030002,1,1,472,-52,1654780726305690,1654780726305690,
300833b2ddd9014000030001,1,1,1128,-46,1654780726337169,1654780726337169,
300833b2ddd9014000030008,1,1,3096,-47,1654780726338862,1654780726338862,
300833b2ddd9014000030009,1,1,2444,-45,1654780726340148,1654780726340148,
300833b2ddd9014000030002,1,1,472,-52,1654780726341822,1654780726341822,
300833b2ddd9014000030001,1,1,1136,-46,1654780726344598,1654780726344598,
300833b2ddd9014000030009,1,1,2452,-45,1654780726345727,1654780726345727,
300833b2ddd9014000030008,1,1,3072,-47,1654780726346786,1654780726346786,
300833b2ddd9014000030002,1,1,464,-52,1654780726348109,1654780726348109,
300833b2ddd9014000030001,1,1,1116,-46,1654780726381658,1654780726381658,
300833b2ddd9014000030009,1,1,2432,-45,1654780726382687,1654780726382687,
300833b2ddd9014000030002,1,1,460,-52,1654780726383770,1654780726383770,
300833b2ddd9014000030008,1,1,3080,-47,1654780726384982,1654780726384982,
300833b2ddd9014000030009,1,1,2440,-45,1654780726387922,1654780726387922,
300833b2ddd9014000030001,1,1,1120,-46,1654780726389278,1654780726389278,
300833b2ddd9014000030008,1,1,3080,-47,1654780726391099,1654780726391099,
300833b2ddd9014000030002,1,1,492,-52,1654780726392167,1654780726392167,
300833b2ddd9014000030001,1,1,1124,-46,1654780726423939,1654780726423939,
300833b2ddd9014000030002,1,1,448,-52,1654780726425438,1654780726425438,
300833b2ddd9014000030008,1,1,3088,-47,1654780726426519,1654780726426519,
300833b2ddd9014000030009,1,1,2452,-45,1654780726427650,1654780726427650,
