epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030008,1,1,3464,-43,1654781531887904,1654781531887904,
300833b2ddd9014000030002,1,1,516,-49,1654781531889412,1654781531889412,
300833b2ddd9014000030009,1,1,2956,-47,1654781531890513,1654781531890513,
300833b2ddd9014000030001,1,1,1228,-64,1654781531891702,1654781531891702,
300833b2ddd9014000030009,1,1,2964,-47,1654781531895565,1654781531895565,
300833b2ddd9014000030008,1,1,3476,-44,1654781531896918,1654781531896918,
300833b2ddd9014000030002,1,1,520,-49,1654781531898002,1654781531898002,
300833b2ddd9014000030001,1,1,1184,-64,1654781531899459,1654781531899459,
300833b2ddd9014000030008,1,1,3452,-44,1654781531931634,1654781531931634,
300833b2ddd9014000030002,1,1,496,-49,1654781531932674,1654781531932674,
300833b2ddd9014000030009,1,1,2992,-47,1654781531934173,1654781531934173,
300833b2ddd9014000030001,1,1,1132,-63,1654781531935603,1654781531935603,
300833b2ddd9014000030001,1,1,1284,-64,1654781531939447,1654781531939447,
300833b2ddd9014000030009,1,1,2948,-47,1654781531940531,1654781531940531,
300833b2ddd9014000030008,1,1,3448,-44,1654781531941615,1654781531941615,
300833b2ddd9014000030002,1,1,500,-49,1654781531943039,1654781531943039,
300833b2ddd9014000030001,1,1,1236,-63,1654781531973832,1654781531973832,
300833b2ddd9014000030008,1,1,3472,-44,1654781531975047,1654781531975047,
300833b2ddd9014000030009,1,1,2964,-47,1654781531976401,1654781531976401,
300833b2ddd9014000030002,1,1,508,-49,1654781531977470,1654781531977470,
300833b2ddd9014000030008,1,1,3436,-44,1654781531981307,1654781531981307,
300833b2ddd9014000030009,1,1,3000,-47,1654781531983019,1654781531983019,
300833b2ddd9014000030002,1,1,508,-49,1654781531984059,1654781531984059,
300833b2ddd9014000030001,1,1,1136,-63,1654781531985177,1654781531985177,
300833b2ddd9014000030001,1,1,1224,-64,1654781532015578,1654781532015578,
300833b2ddd9014000030009,1,1,2928,-47,1654781532016679,1654781532016679,
300833b2ddd9014000030008,1,1,3460,-44,1654781532018003,1654781532018003,
300833b2ddd9014000030002,1,1,500,-49,1654781532019525,1654781532019525,
300833b2ddd9014000030008,1,1,3440,-44,1654781532024322,1654781532024322,
300833b2ddd9014000030009,1,1,2984,-47,1654781532025435,1654781532025435,
300833b2ddd9014000030002,1,1,508,-49,1654781532027242,1654781532027242,
300833b2ddd9014000030001,1,1,1180,-63,1654781532028928,1654781532028928,
300833b2ddd9014000030008,1,1,3448,-44,1654781532060848,1654781532060848,
300833b2ddd9014000030009,1,1,2972,-47,1654781532061947,1654781532061947,
300833b2ddd9014000030002,1,1,484,-49,1654781532063017,1654781532063017,
300833b2ddd9014000030001,1,1,1112,-64,1654781532064078,1654781532064078,
300833b2ddd9014000030001,1,1,1252,-63,1654781532067437,1654781532067437,
300833b2ddd9014000030002,1,1,496,-49,1654781532068492,1654781532068492,
300833b2ddd9014000030008,1,1,3460,-44,1654781532070256,1654781532070256,
300833b2ddd9014000030009,1,1,2984,-47,1654781532071341,1654781532071341,
300833b2ddd9014000030001,1,1,1196,-64,1654781532102785,1654781532102785,
300833b2ddd9014000030002,1,1,516,-49,1654781532104694,1654781532104694,
300833b2ddd9014000030008,1,1,3440,-44,1654781532105820,1654781532105820,
300833b2ddd9014000030009,1,1,2956,-47,1654781532107188,1654781532107188,
300833b2ddd9014000030001,1,1,1136,-64,1654781532111043,1654781532111043,
300833b2ddd9014000030008,1,1,3460,-44,1654781532112138,1654781532112138,
300833b2ddd9014000030002,1,1,516,-49,1654781532113688,1654781532113688,
300833b2ddd9014000030009,1,1,2960,-47,1654781532115371,1654781532115371,
300833b2ddd9014000030008,1,1,3452,-44,1654781532146261,1654781532146261,
300833b2ddd9014000030009,1,1,2972,-47,1654781532148225,1654781532148225,
300833b2ddd9014000030001,1,1,1120,-64,1654781532149514,1654781532149514,
300833b2ddd9014000030008,1,1,3464,-43,1654781532153085,1654781532153085,
300833b2ddd9014000030001,1,1,1188,-64,1654781532154158,1654781532154158,
300833b2ddd9014000030002,1,1,512,-49,1654781532155483,1654781532155483,
300833b2ddd9014000030009,1,1,2980,-47,1654781532157064,1654781532157064,
300833b2ddd9014000030008,1,1,3456,-44,1654781532188749,1654781532188749,
300833b2ddd9014000030002,1,1,516,-49,1654781532190912,1654781532190912,
300833b2ddd9014000030009,1,1,2964,-47,1654781532191983,1654781532191983,
300833b2ddd9014000030001,1,1,1144,-64,1654781532193187,1654781532193187,
300833b2ddd9014000030002,1,1,520,-49,1654781532196140,1654781532196140,
300833b2ddd9014000030008,1,1,3468,-44,1654781532197450,1654781532197450,
300833b2ddd9014000030001,1,1,1256,-63,1654781532198525,1654781532198525,
300833b2ddd9014000030009,1,1,2960,-47,1654781532199875,1654781532199875,
300833b2ddd9014000030008,1,1,3456,-44,1654781532232257,1654781532232257,
300833b2ddd9014000030001,1,1,1276,-64,1654781532233743,1654781532233743,
300833b2ddd9014000030002,1,1,484,-49,1654781532234784,1654781532234784,
300833b2ddd9014000030009,1,1,2948,-47,1654781532235867,1654781532235867,
