epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030009,1,1,2672,-43,1654779784021561,1654779784021561,
300833b2ddd9014000030001,1,1,1384,-50,1654779784023102,1654779784023102,
300833b2ddd9014000030002,1,1,860,-49,1654779784024639,1654779784024639,
300833b2ddd9014000030008,1,1,3692,-45,1654779784025723,1654779784025723,
300833b2ddd9014000030009,1,1,2660,-43,1654779784030480,1654779784030480,
300833b2ddd9014000030008,1,1,3688,-45,1654779784031532,1654779784031532,
300833b2ddd9014000030001,1,1,1420,-50,1654779784032864,1654779784032864,
300833b2ddd9014000030002,1,1,844,-49,1654779784034141,1654779784034141,
300833b2ddd9014000030002,1,1,812,-49,1654779784066589,1654779784066589,
300833b2ddd9014000030009,1,1,2684,-43,1654779784067644,1654779784067644,
300833b2ddd9014000030008,1,1,3676,-45,1654779784070002,1654779784070002,
300833b2ddd9014000030001,1,1,1384,-50,1654779784071161,1654779784071161,
300833b2ddd9014000030009,1,1,2684,-43,1654779784074180,1654779784074180,
300833b2ddd9014000030008,1,1,3700,-45,1654779784075293,1654779784075293,
300833b2ddd9014000030002,1,1,812,-49,1654779784076349,1654779784076349,
300833b2ddd9014000030001,1,1,1408,-50,1654779784079663,1654779784079663,
300833b2ddd9014000030001,1,1,1392,-50,1654779784109548,1654779784109548,
300833b2ddd9014000030002,1,1,844,-49,1654779784110649,1654779784110649,
300833b2ddd9014000030009,1,1,2660,-43,1654779784111763,1654779784111763,
300833b2ddd9014000030008,1,1,3696,-45,1654779784112859,1654779784112859,
300833b2ddd9014000030001,1,1,1392,-50,1654779784118943,1654779784118943,
300833b2ddd9014000030008,1,1,3684,-45,1654779784120280,1654779784120280,
300833b2ddd9014000030009,1,1,2676,-43,1654779784121367,1654779784121367,
300833b2ddd9014000030002,1,1,824,-49,1654779784122820,1654779784122820,
300833b2ddd9014000030008,1,1,3696,-45,1654779784153641,1654779784153641,
300833b2ddd9014000030001,1,1,1392,-50,1654779784154687,1654779784154687,
300833b2ddd9014000030009,1,1,2672,-43,1654779784156014,1654779784156014,
300833b2ddd9014000030002,1,1,828,-49,1654779784157481,1654779784157481,
300833b2ddd9014000030009,1,1,2676,-43,1654779784160971,1654779784160971,
300833b2ddd9014000030008,1,1,3696,-45,1654779784162198,1654779784162198,
300833b2ddd9014000030001,1,1,1376,-50,1654779784163271,1654779784163271,
300833b2ddd9014000030002,1,1,836,-49,1654779784164539,1654779784164539,
300833b2ddd9014000030008,1,1,3696,-45,1654779784194862,1654779784194862,
300833b2ddd9014000030009,1,1,2684,-43,1654779784196413,1654779784196413,
300833b2ddd9014000030001,1,1,1364,-50,1654779784197517,1654779784197517,
300833b2ddd9014000030002,1,1,820,-49,1654779784199918,1654779784199918,
300833b2ddd9014000030002,1,1,824,-49,1654779784203635,1654779784203635,
300833b2ddd9014000030001,1,1,1392,-50,1654779784204721,1654779784204721,
300833b2ddd9014000030009,1,1,2668,-43,1654779784206530,1654779784206530,
300833b2ddd9014000030008,1,1,3692,-45,1654779784207643,1654779784207643,
300833b2ddd9014000030009,1,1,2684,-43,1654779784239397,1654779784239397,
300833b2ddd9014000030002,1,1,792,-49,1654779784241121,1654779784241121,
300833b2ddd9014000030008,1,1,3692,-45,1654779784242243,1654779784242243,
300833b2ddd9014000030001,1,1,1396,-50,1654779784243574,1654779784243574,
300833b2ddd9014000030008,1,1,3700,-45,1654779784247439,1654779784247439,
300833b2ddd9014000030001,1,1,1384,-50,1654779784248943,1654779784248943,
300833b2ddd9014000030009,1,1,2672,-44,1654779784250254,1654779784250254,
300833b2ddd9014000030002,1,1,824,-49,1654779784251948,1654779784251948,
300833b2ddd9014000030001,1,1,1412,-50,1654779784282168,1654779784282168,
