epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030009,1,1,2544,-45,1654781338715177,1654781338715177,
300833b2ddd9014000030002,1,1,212,-47,1654781338716263,1654781338716263,
300833b2ddd9014000030008,1,1,3220,-43,1654781338717587,1654781338717587,
300833b2ddd9014000030001,1,1,1140,-52,1654781338718629,1654781338718629,
300833b2ddd9014000030009,1,1,2524,-45,1654781338723565,1654781338723565,
300833b2ddd9014000030001,1,1,1136,-52,1654781338724862,1654781338724862,
300833b2ddd9014000030002,1,1,220,-47,1654781338726187,1654781338726187,
300833b2ddd9014000030008,1,1,3228,-43,1654781338727778,1654781338727778,
300833b2ddd9014000030009,1,1,2540,-45,1654781338758990,1654781338758990,
300833b2ddd9014000030001,1,1,1132,-52,1654781338760077,1654781338760077,
300833b2ddd9014000030008,1,1,3220,-43,1654781338762408,1654781338762408,
300833b2ddd9014000030002,1,1,220,-47,1654781338763886,1654781338763886,
300833b2ddd9014000030001,1,1,1116,-52,1654781338768023,1654781338768023,
300833b2ddd9014000030009,1,1,2540,-45,1654781338769151,1654781338769151,
300833b2ddd9014000030002,1,1,204,-47,1654781338770489,1654781338770489,
300833b2ddd9014000030008,1,1,3224,-43,1654781338771586,1654781338771586,
300833b2ddd9014000030008,1,1,3220,-43,1654781338803304,1654781338803304,
300833b2ddd9014000030001,1,1,1108,-52,1654781338804646,1654781338804646,
300833b2ddd9014000030009,1,1,2536,-45,1654781338805674,1654781338805674,
300833b2ddd9014000030002,1,1,220,-47,1654781338806742,1654781338806742,
300833b2ddd9014000030001,1,1,1120,-52,1654781338813704,1654781338813704,
300833b2ddd9014000030008,1,1,3220,-43,1654781338814820,1654781338814820,
300833b2ddd9014000030009,1,1,2532,-45,1654781338817177,1654781338817177,
300833b2ddd9014000030002,1,1,212,-47,1654781338818374,1654781338818374,
300833b2ddd9014000030008,1,1,3220,-43,1654781338848296,1654781338848296,
300833b2ddd9014000030001,1,1,1132,-52,1654781338850717,1654781338850717,
300833b2ddd9014000030009,1,1,2548,-45,1654781338852930,1654781338852930,
300833b2ddd9014000030002,1,1,208,-47,1654781338854100,1654781338854100,
300833b2ddd9014000030009,1,1,2540,-45,1654781338856900,1654781338856900,
300833b2ddd9014000030008,1,1,3212,-43,1654781338858838,1654781338858838,
300833b2ddd9014000030001,1,1,1140,-52,1654781338859969,1654781338859969,
300833b2ddd9014000030002,1,1,216,-47,1654781338861294,1654781338861294,
300833b2ddd9014000030008,1,1,3216,-43,1654781338891600,1654781338891600,
300833b2ddd9014000030002,1,1,220,-47,1654781338893549,1654781338893549,
300833b2ddd9014000030001,1,1,1132,-52,1654781338894683,1654781338894683,
300833b2ddd9014000030009,1,1,2560,-45,1654781338895796,1654781338895796,
300833b2ddd9014000030002,1,1,212,-47,1654781338899650,1654781338899650,
300833b2ddd9014000030001,1,1,1140,-52,1654781338901308,1654781338901308,
300833b2ddd9014000030008,1,1,3212,-43,1654781338902390,1654781338902390,
300833b2ddd9014000030009,1,1,2556,-45,1654781338903685,1654781338903685,
300833b2ddd9014000030008,1,1,3212,-43,1654781338934326,1654781338934326,
300833b2ddd9014000030009,1,1,2524,-45,1654781338935412,1654781338935412,
300833b2ddd9014000030002,1,1,204,-47,1654781338936722,1654781338936722,
300833b2ddd9014000030001,1,1,1096,-52,1654781338938306,1654781338938306,
300833b2ddd9014000030009,1,1,2540,-45,1654781338942837,1654781338942837,
300833b2ddd9014000030002,1,1,208,-47,1654781338944521,1654781338944521,
300833b2ddd9014000030001,1,1,1112,-52,1654781338945609,1654781338945609,
300833b2ddd9014000030008,1,1,3212,-43,1654781338946678,1654781338946678,
300833b2ddd9014000030002,1,1,212,-47,1654781338977663,1654781338977663,
300833b2ddd9014000030008,1,1,3208,-43,1654781338979615,1654781338979615,
300833b2ddd9014000030009,1,1,2532,-45,1654781338980699,1654781338980699,
300833b2ddd9014000030001,1,1,1152,-52,1654781338982114,1654781338982114,
300833b2ddd9014000030009,1,1,2524,-45,1654781338984890,1654781338984890,
300833b2ddd9014000030008,1,1,3216,-43,1654781338985973,1654781338985973,
300833b2ddd9014000030002,1,1,204,-47,1654781338987808,1654781338987808,
300833b2ddd9014000030001,1,1,1140,-52,1654781338989137,1654781338989137,
300833b2ddd9014000030009,1,1,2544,-45,1654781339020321,1654781339020321,
300833b2ddd9014000030008,1,1,3216,-43,1654781339021390,1654781339021390,
300833b2ddd9014000030002,1,1,204,-47,1654781339023665,1654781339023665,
300833b2ddd9014000030001,1,1,1144,-52,1654781339025990,1654781339025990,
300833b2ddd9014000030008,1,1,3208,-43,1654781339030695,1654781339030695,
300833b2ddd9014000030009,1,1,2528,-45,1654781339032179,1654781339032179,
300833b2ddd9014000030001,1,1,1128,-52,1654781339033522,1654781339033522,
300833b2ddd9014000030002,1,1,212,-47,1654781339034962,1654781339034962,
300833b2ddd9014000030002,1,1,204,-47,1654781339065077,1654781339065077,
300833b2ddd9014000030009,1,1,2540,-45,1654781339067063,1654781339067063,
300833b2ddd9014000030008,1,1,3204,-43,1654781339068105,1654781339068105,
300833b2ddd9014000030001,1,1,1140,-52,1654781339069789,1654781339069789,
300833b2ddd9014000030001,1,1,1132,-52,1654781339072798,1654781339072798,
300833b2ddd9014000030009,1,1,2528,-45,1654781339074758,1654781339074758,
300833b2ddd9014000030008,1,1,3204,-43,1654781339076309,1654781339076309,
300833b2ddd9014000030002,1,1,196,-47,1654781339077506,1654781339077506,
300833b2ddd9014000030001,1,1,1148,-52,1654781339107428,1654781339107428,
300833b2ddd9014000030002,1,1,208,-47,1654781339109022,1654781339109022,
300833b2ddd9014000030009,1,1,2540,-45,1654781339110602,1654781339110602,
300833b2ddd9014000030008,1,1,3212,-43,1654781339111687,1654781339111687,
300833b2ddd9014000030009,1,1,2564,-45,1654781339115952,1654781339115952,
300833b2ddd9014000030002,1,1,232,-47,1654781339117931,1654781339117931,
300833b2ddd9014000030008,1,1,3208,-43,1654781339119525,1654781339119525,
300833b2ddd9014000030001,1,1,1148,-52,1654781339120967,1654781339120967,
