epc,atenda,atendanum,phase,RSS,timestamp,timestamp2,
300833b2ddd9014000030008,1,1,2184,-53,1654693574356962,1654693574356962,
300833b2ddd9014000030001,1,1,1184,-63,1654693574358305,1654693574358305,
300833b2ddd9014000030002,1,1,1980,-67,1654693574360900,1654693574360900,
300833b2ddd9014000030001,1,1,1312,-65,1654693574363866,1654693574363866,
300833b2ddd9014000030008,1,1,2200,-53,1654693574365204,1654693574365204,
300833b2ddd9014000030002,1,1,2100,-68,1654693574366973,1654693574366973,
300833b2ddd9014000030008,1,1,2172,-53,1654693574399368,1654693574399368,
300833b2ddd9014000030001,1,1,1272,-64,1654693574400514,1654693574400514,
300833b2ddd9014000030002,1,1,2092,-69,1654693574404745,1654693574404745,
300833b2ddd9014000030008,1,1,2180,-53,1654693574408385,1654693574408385,
300833b2ddd9014000030001,1,1,1288,-64,1654693574409603,1654693574409603,
300833b2ddd9014000030002,1,1,2220,-67,1654693574413330,1654693574413330,
300833b2ddd9014000030008,1,1,2200,-53,1654693574443324,1654693574443324,
300833b2ddd9014000030001,1,1,1304,-64,1654693574445335,1654693574445335,
300833b2ddd9014000030002,1,1,2104,-68,1654693574447245,1654693574447245,
300833b2ddd9014000030001,1,1,1316,-64,1654693574452186,1654693574452186,
300833b2ddd9014000030008,1,1,2184,-53,1654693574453779,1654693574453779,
300833b2ddd9014000030002,1,1,2084,-68,1654693574455956,1654693574455956,
300833b2ddd9014000030001,1,1,1280,-65,1654693574487522,1654693574487522,
300833b2ddd9014000030002,1,1,2156,-67,1654693574488579,1654693574488579,
300833b2ddd9014000030008,1,1,2180,-53,1654693574489904,1654693574489904,
300833b2ddd9014000030008,1,1,2184,-54,1654693574495075,1654693574495075,
300833b2ddd9014000030001,1,1,1280,-64,1654693574496580,1654693574496580,
300833b2ddd9014000030002,1,1,2456,-68,1654693574499253,1654693574499253,
300833b2ddd9014000030001,1,1,1332,-64,1654693574530056,1654693574530056,
300833b2ddd9014000030008,1,1,2192,-54,1654693574531351,1654693574531351,
300833b2ddd9014000030002,1,1,2244,-68,1654693574533375,1654693574533375,
300833b2ddd9014000030001,1,1,1332,-64,1654693574536708,1654693574536708,
300833b2ddd9014000030008,1,1,2184,-53,1654693574538872,1654693574538872,
300833b2ddd9014000030002,1,1,2036,-68,1654693574542008,1654693574542008,
300833b2ddd9014000030008,1,1,2180,-53,1654693574571925,1654693574571925,
300833b2ddd9014000030001,1,1,1432,-65,1654693574574462,1654693574574462,
300833b2ddd9014000030002,1,1,2244,-68,1654693574578940,1654693574578940,
300833b2ddd9014000030008,1,1,2184,-54,1654693574582064,1654693574582064,
300833b2ddd9014000030001,1,1,1208,-64,1654693574584274,1654693574584274,
300833b2ddd9014000030002,1,1,1920,-68,1654693574587747,1654693574587747,
300833b2ddd9014000030008,1,1,2172,-53,1654693574617647,1654693574617647,
300833b2ddd9014000030001,1,1,1336,-64,1654693574619332,1654693574619332,
300833b2ddd9014000030002,1,1,2252,-69,1654693574624706,1654693574624706,
300833b2ddd9014000030008,1,1,2188,-54,1654693574630036,1654693574630036,
300833b2ddd9014000030001,1,1,1332,-64,1654693574631154,1654693574631154,
300833b2ddd9014000030002,1,1,2044,-68,1654693574632837,1654693574632837,
300833b2ddd9014000030008,1,1,2184,-53,1654693574662586,1654693574662586,
300833b2ddd9014000030001,1,1,1312,-65,1654693574665091,1654693574665091,
300833b2ddd9014000030002,1,1,2072,-68,1654693574667564,1654693574667564,
300833b2ddd9014000030001,1,1,1288,-63,1654693574671031,1654693574671031,
300833b2ddd9014000030008,1,1,2192,-54,1654693574672286,1654693574672286,
300833b2ddd9014000030002,1,1,2056,-67,1654693574674464,1654693574674464,
300833b2ddd9014000030001,1,1,1284,-64,1654693574704909,1654693574704909,
300833b2ddd9014000030008,1,1,2180,-53,1654693574706375,1654693574706375,
300833b2ddd9014000030002,1,1,2032,-68,1654693574708124,1654693574708124,
300833b2ddd9014000030008,1,1,2184,-53,1654693574712250,1654693574712250,
300833b2ddd9014000030001,1,1,1300,-64,1654693574714486,1654693574714486,
300833b2ddd9014000030002,1,1,2088,-69,1654693574717197,1654693574717197,
300833b2ddd9014000030008,1,1,2168,-53,1654693574747067,1654693574747067,
300833b2ddd9014000030001,1,1,1252,-64,1654693574749337,1654693574749337,
300833b2ddd9014000030008,1,1,2180,-53,1654693574757845,1654693574757845,
300833b2ddd9014000030001,1,1,1292,-64,1654693574759279,1654693574759279,
300833b2ddd9014000030001,1,1,1364,-65,1654693574790303,1654693574790303,
300833b2ddd9014000030008,1,1,2164,-53,1654693574791897,1654693574791897,
300833b2ddd9014000030002,1,1,2092,-68,1654693574795244,1654693574795244,
300833b2ddd9014000030008,1,1,2180,-53,1654693574798579,1654693574798579,
300833b2ddd9014000030001,1,1,1224,-64,1654693574799625,1654693574799625,
300833b2ddd9014000030002,1,1,2192,-69,1654693574803984,1654693574803984,
300833b2ddd9014000030008,1,1,2172,-53,1654693574835028,1654693574835028,
300833b2ddd9014000030001,1,1,1232,-64,1654693574836146,1654693574836146,
300833b2ddd9014000030002,1,1,2164,-68,1654693574837829,1654693574837829,
300833b2ddd9014000030001,1,1,1244,-63,1654693574840843,1654693574840843,
300833b2ddd9014000030008,1,1,2200,-54,1654693574842807,1654693574842807,
300833b2ddd9014000030002,1,1,1920,-69,1654693574846578,1654693574846578,
300833b2ddd9014000030001,1,1,1224,-64,1654693574876333,1654693574876333,
300833b2ddd9014000030008,1,1,2188,-54,1654693574877643,1654693574877643,
300833b2ddd9014000030002,1,1,2164,-68,1654693574888566,1654693574888566,
300833b2ddd9014000030001,1,1,1268,-64,1654693574891465,1654693574891465,
300833b2ddd9014000030008,1,1,2180,-54,1654693574893671,1654693574893671,
300833b2ddd9014000030002,1,1,2160,-68,1654693574894972,1654693574894972,
300833b2ddd9014000030001,1,1,1252,-64,1654693574925655,1654693574925655,
300833b2ddd9014000030002,1,1,2012,-69,1654693574926755,1654693574926755,
300833b2ddd9014000030008,1,1,2196,-54,1654693574928049,1654693574928049,
300833b2ddd9014000030009,1,1,1288,-73,1654693574929138,1654693574929138,
300833b2ddd9014000030008,1,1,2172,-53,1654693574933705,1654693574933705,
300833b2ddd9014000030001,1,1,1288,-63,1654693574935662,1654693574935662,
300833b2ddd9014000030002,1,1,2192,-69,1654693574941266,1654693574941266,
300833b2ddd9014000030001,1,1,1188,-64,1654693574971249,1654693574971249,
300833b2ddd9014000030008,1,1,2184,-53,1654693574972317,1654693574972317,
300833b2ddd9014000030002,1,1,2068,-69,1654693574976933,1654693574976933,
300833b2ddd9014000030001,1,1,1308,-64,1654693574979943,1654693574979943,
300833b2ddd9014000030008,1,1,2168,-54,1654693574981294,1654693574981294,
300833b2ddd9014000030002,1,1,2192,-68,1654693574985469,1654693574985469,
300833b2ddd9014000030008,1,1,2180,-54,1654693575015790,1654693575015790,
300833b2ddd9014000030001,1,1,1244,-63,1654693575017971,1654693575017971,
300833b2ddd9014000030002,1,1,2160,-69,1654693575019667,1654693575019667,
300833b2ddd9014000030008,1,1,2172,-53,1654693575025218,1654693575025218,
300833b2ddd9014000030001,1,1,1328,-64,1654693575026292,1654693575026292,
300833b2ddd9014000030008,1,1,2188,-53,1654693575060281,1654693575060281,
300833b2ddd9014000030001,1,1,1272,-64,1654693575061361,1654693575061361,
300833b2ddd9014000030002,1,1,2284,-68,1654693575064644,1654693575064644,
300833b2ddd9014000030008,1,1,2160,-53,1654693575068339,1654693575068339,
300833b2ddd9014000030001,1,1,1240,-64,1654693575069822,1654693575069822,
300833b2ddd9014000030002,1,1,2320,-69,1654693575083150,1654693575083150,
300833b2ddd9014000030001,1,1,1188,-64,1654693575112945,1654693575112945,
300833b2ddd9014000030008,1,1,2172,-54,1654693575116035,1654693575116035,
300833b2ddd9014000030008,1,1,2188,-52,1654693575123006,1654693575123006,
300833b2ddd9014000030008,1,1,2120,-52,1654693575156695,1654693575156695,
300833b2ddd9014000030008,1,1,2168,-52,1654693575161318,1654693575161318,
300833b2ddd9014000030008,1,1,2144,-52,1654693575193873,1654693575193873,
300833b2ddd9014000030008,1,1,2252,-53,1654693575197276,1654693575197276,
